,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2465,0.03,06,06,15:39:00,2019,쓰레기소각,산59-1,아사,경산,진량,경북,06,목요일,06,13:32:00,2019
2466,0.76,06,06,14:50:00,2019,농산부산물소각,산124,강교,경주,안강,경북,06,목요일,06,12:15:00,2019
2467,0.04,06,06,12:08:00,2019,기타,199-2,강북,우이,서울,06,목요일,06,10:11:00,2019,
2468,0.18,05,06,20:00:00,2019,입산자실화,산20-1,제내,경주,외동,경북,05,수요일,06,17:00:00,2019
2469,0.02,05,06,16:20:00,2019,농산부산물소각,산46-1,교동,울주,삼남,울산,05,수요일,06,15:53:00,2019
2470,0.2,06,06,13:32:00,2019,입산자실화,산174,오산,무주,무주,전북,05,수요일,06,14:41:00,2019
2471,0.5,05,06,15:26:00,2019,기타,산20,달신,군위,우보,경북,05,수요일,06,12:10:00,2019
2472,0.2,04,06,15:26:00,2019,입산자실화,산408,화암,정선,화암,강원,04,화요일,06,14:14:00,2019
2473,0.01,04,06,14:20:00,2019,담뱃불실화,산22,율,성남 분당,경기,04,화요일,06,12:34:00,2019,
2474,0.03,04,06,13:25:00,2019,건축물화재비화,산58-1,고은,안성,일죽,경기,04,화요일,06,10:40:00,2019
2475,0.01,03,06,21:30:00,2019,건축물화재비화,산44-1,도심,봉화,춘양,경북,03,월요일,06,19:21:00,2019
2476,0.1,03,06,16:00:00,2019,입산자실화,산66-3,능내,남양주,조안,경기,03,월요일,06,12:49:00,2019
2477,0.03,02,06,18:50:00,2019,입산자실화,산73-1,시산,예산,대술,충남,02,일요일,06,18:00:00,2019
2478,1.07,31,05,05:20:00,2019,쓰레기소각,산23,전동,경주,감포,경북,31,금요일,05,02:50:00,2019
2479,0.1,31,05,01:10:00,2019,기타,251-31,냉정,강화,선원,인천,30,목요일,05,23:54:00,2019
2480,0.01,30,05,21:00:00,2019,입산자실화,산32,두산,영주,봉현,경북,30,목요일,05,18:45:00,2019
2481,0.02,29,05,21:30:00,2019,입산자실화,산33-1,상판,가평,조종,경기,29,수요일,05,18:02:00,2019
2482,4.7,27,05,06:35:00,2019,기타,산82-2,사천,안동,녹전,경북,26,일요일,05,17:46:00,2019
2483,0.01,26,05,15:20:00,2019,기타,산87,어석,이천,장호원,경기,26,일요일,05,13:22:00,2019
2484,0.03,26,05,14:10:00,2019,기타,산6,산수,서산,해미,충남,26,일요일,05,12:41:00,2019
2485,0.3,26,05,03:00:00,2019,입산자실화,산169,정읍,쌍암,전북,25,토요일,05,23:51:00,2019,
2486,0.2,25,05,19:00:00,2019,입산자실화,산24,동원,영주,단산,경북,25,토요일,05,16:45:00,2019
2487,0.1,24,05,14:30:00,2019,입산자실화,산260,정양,영월,영월,강원,24,금요일,05,12:59:00,2019
2488,0.05,24,05,05:40:00,2019,기타,226-136(임),덕은,파주,월롱,경기,24,금요일,05,00:22:00,2019
